temperature_c,building_sqm,occupancy_pct,is_weekday,energy_kwh
42.6,479.2,71.2,0,563.61
73.3,280.3,124.2,0,711.91
80.6,393.9,130.9,0,779.65
56.7,90.4,74.3,1,780.59
87.6,449.8,160.2,0,890.98
49.9,421.0,186.7,1,474.67
62.8,176.6,89.0,0,648.73
62.0,437.9,171.7,1,650.66
44.1,255.0,91.8,1,571.46
47.6,152.9,103.1,0,395.56

34.3,403.2,143.2,0,234.81
71.4,123.7,172.3,1,705.49
35.5,168.9,116.4,1,421.13
69.2,471.5,69.5,0,912.81
65.9,287.1,181.8,0,515.48
41.8,371.5,72.1,1,580.09
43.7,198.8,66.0,1,571.0
47.9,213.5,95.5,1,658.12
72.5,431.0,63.7,1,847.83
36.2,194.1,161.5,0,86.6
