temperature_c,building_sqm,occupancy_pct,is_weekday,energy_kwh
41.6,309.4,67.0,1,642.5
17.1,112.2,83.3,1,233.63
43.7,346.8,51.7,0,614.59
21.6,415.4,54.2,0,442.97
33.7,84.5,29.2,0,338.18
32.9,169.3,36.5,1,635.92
33.4,421.2,57.3,0,507.28
34.7,91.2,98.4,1,449.96
19.7,319.7,46.0,1,486.61
44.2,474.3,81.8,0,592.81
43.3,134.2,37.7,1,582.75
28.2,269.6,50.1,0,394.5
42.9,132.8,55.1,1,640.06
18.4,114.9,20.8,1,455.4
16.9,381.7,96.9,1,286.32
24.9,405.4,82.8,0,204.67
36.9,279.5,26.9,1,637.97
23.1,242.6,92.1,1,235.93
29.5,269.9,41.7,1,451.05
34.6,317.8,29.6,0,561.19
36.4,201.3,84.2,0,316.61
43.0,157.3,72.0,0,495.15
40.9,468.7,87.5,1,478.95
21.4,306.0,29.8,0,293.24
42.9,316.0,25.5,0,503.86
